type;lat;lon;address;n;services;fuel;region
2;51.272431;37.808428;Белгородская область, город Старый Оскол, пересечение южной объездной дороги и Комсомольского проспекта;339;wc, mag;dt, ai95, ai92;7
1;50.616;36.537797;Белгородская область, город Белгород, улица Чичерина, 2 М;420;wc, mag, glass, pum, cls;dt,  ai95, ai92;7
1;50.191116;38.099523;Белгородская область, город Валуйки, улица Никольская, 128;428;mag, wc;dt, ai95, ai92;7
2;50.802297;36.494838;Белгородская область, Яковлевский район, хутор Крапивенские Дворы, улица Магистральная;433;mag, wc;dt, ai95, ai92, sg;7
2;50.352416;36.302379;Белгородская обл., Белгородский район, 702км+200м (слева) а/д Москва-Харьков;434;mag, wc;dt, ai95, ai92, sg;7
1;50.553232;36.580781;г. Белгород, пр. Ватутина - ул. Щорса, объездная дорога;435;mag;dt, ai95, ai92, sg;7
1;50.381193;36.922227;Белгородская область, г. Шебекино, пересечение автодороги Шебекино-Волчанск и Белгород-Волоконовка;436;mag;dt, ai95, ai92, sg;7
1;50.221926;38.107151;Белгородская обл., г. Валуйки, ул.1 Мая 2/2;437;mag;dt, ai95, ai92, sg;7
3;50.551161;36.649632;Белгородская область, город Белгород, улица Волчанская, 159 В;3101;;dt, ai95, ai92;7
3;50.607973;36.630607;Белгородская область, город Белгород, улица Студенческая, 1 Т;3102;;dt, ai95, ai92;7
3;50.556487;36.598556;Белгородская область, город Белгород, улица Сургутская, 80 Б;3103;;dt, ai95, ai92;7
3;50.569027;36.536996;Белгородская область, город Белгород, улица Молодёжная, 21;3104;;dt, ai95, ai92;7
3;50.580436;36.668469;Белгородская область, город Белгород, улица Макаренко, 12 Д;3105;;dt, ai95, ai92;7
3;50.618261;36.612905;Белгородская область, город Белгород, улица Студенческая, 2 Р;3106;;dt, ai95, ai92;7
3;50.541809;36.655045;Белгородская область, город Белгород, улица Волчанская,  298;3107;;dt, ai95, ai92;7
3;50.582303;36.568158;Белгородская область, город Белгород, улица Щорса – улица 5 Августа;3108;;dt, ai95, ai92;7
1;53.288244;34.300108;Брянская область, город Брянск, улица Флотская, 19 А;139;wc, mag, cafe, glass, pum, cls;dt, ai95, ai92;5
2;53.053468;33.965451;Брянская область, Выгонический район, село Лопушь, автодорога Брянск-Новозыбков, 36 км, +250  слева;140;  mag, cafe, glass, pum, cls;dt, ai95, ai92, sg;5
2;51.883741;34.347374;Брянская область, Севский район, автодорога Украина, 518 км;324;wc,  mag, cafe, glass, pum, cls;dt, ai95, ai92;5
1;53.215467;34.419683;Брянская область, город Брянск, Фокинский район, пр-т Московский, 49;344;wc ;dt, ai95, ai92;5
2;53.209906;34.4705;Брянская область, Брянский район, Снежетьское лесничество, 18 -й квартал;345;wc, mag ;dt, ai95, ai92;5
2;53.171067;34.33715;Брянская область, Брянский район, поселок Свень, а/д  Москва-Бобруйск, 15 км, +300 м;346;mag;dt, ai95, ai92;5
2;53.404694;34.348575;Брянская область, Брянский район, село Дарковичи, улица Веселая, строение 1 А;347;wc, mag, cafe;dt, ai95, ai92;5
1;53.264981;34.321753;Брянская область, город Брянск, Советский район,  улица Авиационная, 13;348;wc, mag;dt, ai95, ai92;5
2;53.146367;34.882029;Брянская область, Карачевский район, автодорога Орел-Брянск-Смоленск, 88 км ;349;wc, mag ;dt, ai95, ai92;5
2;52.441527;31.624036;Брянская область,  автодорога Брянск-Гомель, автодорога М-13, км 220 слева;364;wc, mag ;dt, ai95, ai92;5
2;53.218067;34.317656;Брянская область, село Супонево, автодорога Брянск-Гомель М-13, 5 км слева;365;wc, mag, pum, cls;dt, ai95, ai92;5
2;53.120092;34.965219;Брянская область,  Карачевский район, город Карачев, улица Первомайская, квартал 80;366;wc, mag ;dt, ai95, ai92;5
1;53.243058;34.340036;Брянская область,  город Брянск, Советский район, улица Красноармейская, 93;367;wc, mag ;dt, ai95, ai92;5
2;53.643272;33.453244;Брянская область, Дубровский район, село Алешня, б/н;368;wc, mag ;dt, ai95, ai92;5
2;52.914;33.499542;Брянская область, Почепский район, автодорога  Брянск-Новозыбков,  пересечение с а/д  Почеп-Первомайский, 73 км;369;wc, mag ;dt, ai95, ai92;5
1;53.028708;32.373507;Брянская область, город Сураж, улица Белорусская, 152 А;370;wc, mag, pum, cls, glass;dt, ai95, ai92;5
1;53.33747;34.21427;Брянская область, город Брянск, Бежицкий район, улица Шоссейная, 77;380;wc, mag ;dt, ai95, ai92;5
3;53.207454;34.464406;Брянская область,  город Брянск, Московский проспект, 156 А;3201;;dt, ai95, ai92;5
3;53.282805;34.390929;Брянская область, город Брянск, пересечение проспект Щорса и улица Академика Королёва;3202;;dt, ai95, ai92;5
3;53.332001;34.308801;Брянская область,город Брянск, улица Почтовая;3203;;dt, ai95, ai92;5
